,Country Name,Country Code,Indicator Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Region,IncomeGroup,TableName
0,Afghanistan,AFG,Proportion of seats held by women in national parliaments (%),-99,-99,-99,-99,-99,-99,-99,-99,27.3092369477912,27.3092369477912,27.6859504132231,27.6859504132231,27.3092369477912,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.8688524590164,South Asia,Low income,Afghanistan
1,Angola,AGO,Proportion of seats held by women in national parliaments (%),9.54545454545455,15.4545454545455,15.4545454545455,15.4545454545455,15.4545454545455,15.4545454545455,15.4545454545455,15.0,15.0,15.0,15.0,37.2727272727273,38.636363636363605,38.636363636363605,38.1818181818182,34.0909090909091,34.0909090909091,36.8181818181818,36.8181818181818,36.8181818181818,30.4545454545455,30.4545454545455,30.0,Sub-Saharan Africa,Lower middle income,Angola
2,Albania,ALB,Proportion of seats held by women in national parliaments (%),-99,-99,5.16129032258065,5.16129032258065,5.71428571428571,5.71428571428571,5.71428571428571,6.428571428571429,7.142857142857139,7.142857142857139,7.142857142857139,7.142857142857139,16.428571428571402,16.428571428571402,15.714285714285701,15.714285714285701,17.8571428571429,20.0,20.7142857142857,22.857142857142897,27.857142857142897,27.857142857142897,29.5081967213115,Europe & Central Asia,Upper middle income,Albania
3,Andorra,AND,Proportion of seats held by women in national parliaments (%),7.142857142857139,7.142857142857139,7.142857142857139,7.142857142857139,14.285714285714299,14.285714285714299,14.285714285714299,14.285714285714299,28.571428571428598,28.571428571428598,28.571428571428598,25.0,35.7142857142857,35.7142857142857,50.0,50.0,50.0,50.0,39.2857142857143,32.1428571428571,32.1428571428571,32.1428571428571,46.428571428571395,Europe & Central Asia,High income,Andorra
4,Arab World,ARB,Proportion of seats held by women in national parliaments (%),3.74716124148373,3.4574468085106402,3.61677568295498,3.77068103116583,4.621264767199441,6.130931763075861,6.04810996563574,6.69304319155952,7.03676649622596,9.34959349593497,9.753765240258199,9.80157781496535,9.902309058614561,11.919671777153999,11.328502415458901,14.87204249155,17.369308600337302,17.7934018388318,18.779840848806398,19.2756139915654,18.8840212128199,19.060773480663,17.5665399239544,-99,-99,Arab World
5,United Arab Emirates,ARE,Proportion of seats held by women in national parliaments (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.5,22.5,22.5,22.5,17.5,17.5,17.5,17.5,22.5,22.5,22.5,22.5,50.0,Middle East & North Africa,High income,United Arab Emirates
6,Argentina,ARG,Proportion of seats held by women in national parliaments (%),27.626459143968898,27.626459143968898,27.626459143968898,26.459143968871604,26.459143968871604,30.7392996108949,30.7392996108949,33.725490196078404,36.1867704280156,35.0194552529183,40.0,40.0,38.5214007782101,38.5214007782101,37.3540856031128,37.3540856031128,36.5758754863813,36.5758754863813,36.5758754863813,35.7976653696498,38.1322957198444,38.9105058365759,40.1574803149606,Latin America & Caribbean,Upper middle income,Argentina
7,Armenia,ARM,Proportion of seats held by women in national parliaments (%),6.31578947368421,6.31578947368421,3.05343511450382,3.05343511450382,3.05343511450382,3.05343511450382,4.5801526717557195,5.34351145038168,5.34351145038168,5.34351145038168,9.16030534351145,8.3969465648855,9.16030534351145,9.16030534351145,8.3969465648855,10.6870229007634,10.6870229007634,10.6870229007634,10.6870229007634,10.6870229007634,18.095238095238102,18.095238095238102,23.4848484848485,Europe & Central Asia,Upper middle income,Armenia
8,Antigua and Barbuda,ATG,Proportion of seats held by women in national parliaments (%),5.26315789473684,5.26315789473684,5.26315789473684,5.26315789473684,5.26315789473684,5.26315789473684,5.26315789473684,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,Latin America & Caribbean,High income,Antigua and Barbuda
9,Australia,AUS,Proportion of seats held by women in national parliaments (%),15.5405405405405,15.5405405405405,22.4489795918367,22.972972972973,22.972972972973,25.3333333333333,25.3333333333333,24.6666666666667,24.6666666666667,24.6666666666667,26.6666666666667,26.6666666666667,27.3333333333333,24.6666666666667,24.6666666666667,24.6666666666667,26.0,26.0,26.6666666666667,28.6666666666667,28.6666666666667,28.6666666666667,30.463576158940395,East Asia & Pacific,High income,Australia
10,Austria,AUT,Proportion of seats held by women in national parliaments (%),26.2295081967213,26.2295081967213,26.2295081967213,26.775956284153,26.775956284153,26.775956284153,33.879781420765,33.879781420765,33.879781420765,32.240437158469895,32.7868852459016,27.322404371584703,27.8688524590164,27.8688524590164,27.8688524590164,27.8688524590164,33.3333333333333,32.240437158469895,30.601092896174897,30.601092896174897,34.4262295081967,34.4262295081967,39.344262295082004,Europe & Central Asia,High income,Austria
11,Azerbaijan,AZE,Proportion of seats held by women in national parliaments (%),12.0,12.0,12.0,12.0,10.4838709677419,10.4838709677419,10.4838709677419,10.4838709677419,13.0434782608696,11.2903225806452,11.382113821138198,11.382113821138198,11.382113821138198,16.0,16.0,16.0,15.5737704918033,15.5737704918033,16.935483870967698,16.8,16.8,16.8,16.8067226890756,Europe & Central Asia,Upper middle income,Azerbaijan
